run_code,algorithm,purpose,request_code,source_location_code,target_location_code,parameters_json,status,started_at,finished_at,runtime_ms,nodes_expanded,edges_relaxed,total_cost_m,path_json,error_message
RUN-0014,bfs,shortest_path,,hospital,inter-prog-office,"{""weight"": ""length_m"", ""avoid_inactive"": true}",success,2026-08-01 22:55:00,2026-08-01 22:55:00,21.878,10,37,618.8,"[""hospital"", ""teacher-education"", ""education-dept"", ""inter-prog-office""]",
RUN-0015,a_star,shortest_path,,socioso,crop-science,"{""weight"": ""length_m"", ""avoid_inactive"": true}",failed,2026-07-17 16:42:00,,7.853,32,126,,,Edge weight overflow: negative length_m encountered
RUN-0016,bellman_ford,shortest_path,,public-health,pent-hostel-block-c,"{""weight"": ""length_m"", ""avoid_inactive"": true}",success,2026-07-07 22:02:00,2026-07-07 22:02:00,11.017,93,374,4941.0,"[""public-health"", ""limann-hall"", ""ish-hostel"", ""jubilee-hall"", ""bank"", ""vikings-hostel"", ""mensah-sarbah-annex"", ""mensah-sarbah-hall"", ""legon-hall-annex"", ""maison-francaise"", ""legon-hall"", ""french-dept"", ""volta-hall"", ""GRASAG"", ""pharmacy-school"", ""marine-&-fisheries"", ""animal-biology"", ""plant-&-envt-biology"", ""chemistry-dept"", ""ecowas-coastal-marine"", ""stats-dept"", ""computer-science"", ""biomed-dept"", ""pent-hostel-block-a"", ""pent food spot2-info"", ""pent-hostel-block-c""]",
RUN-0017,hungarian,resource_allocation,SR-2026-0004,jqb,,"{""objective"": ""min_response_time"", ""max_candidates"": 8}",success,2026-07-10 21:13:00,2026-07-10 21:13:01,0.779,17,136,500.8,,
RUN-0018,dijkstra,shortest_path,,archaeology,mensah-sarbah-hall,"{""weight"": ""length_m"", ""avoid_inactive"": true}",success,2026-07-20 09:34:00,2026-07-20 09:34:00,7.758,84,333,2952.6,"[""archaeology"", ""education-dept"", ""humanities"", ""law-school"", ""stats-dept"", ""ecowas-coastal-marine"", ""chemistry-dept"", ""plant-&-envt-biology"", ""animal-biology"", ""marine-&-fisheries"", ""pharmacy-school"", ""GRASAG"", ""volta-hall"", ""french-dept"", ""legon-hall"", ""maison-francaise"", ""legon-hall-annex"", ""mensah-sarbah-hall""]",
RUN-0019,bellman_ford,shortest_path,,psychology,limann-hall,"{""weight"": ""length_m"", ""avoid_inactive"": true}",success,2026-07-31 18:05:00,2026-07-31 18:05:00,14.629,94,374,3351.3,"[""psychology"", ""mfodwo"", ""CSPS"", ""GCB-lecture-hall"", ""biochem-dept"", ""nursing-and-midwifery"", ""GRASAG"", ""volta-hall"", ""french-dept"", ""legon-hall"", ""maison-francaise"", ""legon-hall-annex"", ""mensah-sarbah-hall"", ""mensah-sarbah-annex"", ""vikings-hostel"", ""bank"", ""jubilee-hall"", ""ish-hostel"", ""limann-hall""]",
RUN-0020,bellman_ford,shortest_path,,balme-library,fam-and-consumer,"{""weight"": ""length_m"", ""avoid_inactive"": true}",failed,2026-07-26 03:12:00,,2.765,57,233,,,Edge weight overflow: negative length_m encountered
RUN-0021,a_star,shortest_path,,CSPS,limann-hall,"{""weight"": ""length_m"", ""avoid_inactive"": true}",failed,2026-07-29 16:59:00,,2.716,94,374,,,Edge weight overflow: negative length_m encountered
RUN-0022,a_star,shortest_path,,ish-hostel,biomed-dept,"{""weight"": ""length_m"", ""avoid_inactive"": true}",success,2026-07-12 08:14:00,2026-07-12 08:14:00,36.653,74,298,3755.0,"[""ish-hostel"", ""jubilee-hall"", ""bank"", ""vikings-hostel"", ""mensah-sarbah-annex"", ""mensah-sarbah-hall"", ""legon-hall-annex"", ""maison-francaise"", ""legon-hall"", ""french-dept"", ""volta-hall"", ""GRASAG"", ""pharmacy-school"", ""marine-&-fisheries"", ""animal-biology"", ""plant-&-envt-biology"", ""chemistry-dept"", ""ecowas-coastal-marine"", ""stats-dept"", ""computer-science"", ""biomed-dept""]",
RUN-0023,bellman_ford,shortest_path,,vikings-hostel,physics-dept,"{""weight"": ""length_m"", ""avoid_inactive"": true}",success,2026-07-21 01:05:00,2026-07-21 01:05:00,13.964,65,266,2970.7,"[""vikings-hostel"", ""mensah-sarbah-annex"", ""mensah-sarbah-hall"", ""legon-hall-annex"", ""maison-francaise"", ""legon-hall"", ""french-dept"", ""volta-hall"", ""GRASAG"", ""pharmacy-school"", ""marine-&-fisheries"", ""animal-biology"", ""plant-&-envt-biology"", ""chemistry-dept"", ""inter-affairs"", ""geology-dept"", ""physics-dept""]",
RUN-0024,bellman_ford,shortest_path,,mfodwo,socioso,"{""weight"": ""length_m"", ""avoid_inactive"": true}",success,2026-07-17 16:27:00,2026-07-17 16:27:00,3.956,3,10,87.3,"[""mfodwo"", ""socioso""]",
RUN-0025,dijkstra,shortest_path,,animal-biology,balme-library,"{""weight"": ""length_m"", ""avoid_inactive"": true}",success,2026-07-25 20:53:00,2026-07-25 20:53:00,13.981,57,229,1146.0,"[""animal-biology"", ""marine-&-fisheries"", ""pharmacy-school"", ""GRASAG"", ""volta-hall"", ""french-dept"", ""economic-policy"", ""balme-library""]",
RUN-0026,dijkstra,shortest_path,,computer-science,mensah-sarbah-annex,"{""weight"": ""length_m"", ""avoid_inactive"": true}",success,2026-07-27 23:43:00,2026-07-27 23:43:00,25.863,86,340,2761.0,"[""computer-science"", ""stats-dept"", ""ecowas-coastal-marine"", ""chemistry-dept"", ""plant-&-envt-biology"", ""animal-biology"", ""marine-&-fisheries"", ""pharmacy-school"", ""GRASAG"", ""volta-hall"", ""french-dept"", ""legon-hall"", ""maison-francaise"", ""legon-hall-annex"", ""mensah-sarbah-hall"", ""mensah-sarbah-annex""]",
RUN-0027,bellman_ford,shortest_path,,jubilee-hall,history-dept,"{""weight"": ""length_m"", ""avoid_inactive"": true}",success,2026-07-11 08:17:00,2026-07-11 08:17:00,33.699,27,112,1728.8,"[""jubilee-hall"", ""bank"", ""vikings-hostel"", ""mensah-sarbah-annex"", ""mensah-sarbah-hall"", ""legon-hall-annex"", ""maison-francaise"", ""legon-hall"", ""history-dept""]",
RUN-0028,bellman_ford,shortest_path,,cafeteria,great-hall,"{""weight"": ""length_m"", ""avoid_inactive"": true}",success,2026-07-11 11:04:00,2026-07-11 11:04:00,11.287,36,147,1610.6,"[""cafeteria"", ""legon-hall-annex"", ""maison-francaise"", ""legon-hall"", ""sociology-dept"", ""commonwealth-hall"", ""great-hall""]",
RUN-0029,bfs,shortest_path,,legon-hall,sey-hall,"{""weight"": ""length_m"", ""avoid_inactive"": true}",success,2026-08-03 07:35:00,2026-08-03 07:35:00,31.084,93,376,2573.6,"[""legon-hall"", ""maison-francaise"", ""legon-hall-annex"", ""mensah-sarbah-hall"", ""mensah-sarbah-annex"", ""vikings-hostel"", ""bank"", ""jubilee-hall"", ""ish-hostel"", ""limann-hall"", ""kwapong-hall"", ""sey-hall""]",
RUN-0030,a_star,shortest_path,,ghkorea-info,biomed-dept,"{""weight"": ""length_m"", ""avoid_inactive"": true}",success,2026-07-11 10:29:00,2026-07-11 10:29:00,2.851,67,270,2145.8,"[""ghkorea-info"", ""economic-policy"", ""french-dept"", ""volta-hall"", ""GRASAG"", ""pharmacy-school"", ""marine-&-fisheries"", ""animal-biology"", ""plant-&-envt-biology"", ""chemistry-dept"", ""ecowas-coastal-marine"", ""stats-dept"", ""computer-science"", ""biomed-dept""]",
RUN-0031,bellman_ford,shortest_path,,engineering,legon-hall-annex,"{""weight"": ""length_m"", ""avoid_inactive"": true}",success,2026-08-01 04:12:00,2026-08-01 04:12:00,4.614,81,325,2425.5,"[""engineering"", ""law-school"", ""stats-dept"", ""ecowas-coastal-marine"", ""chemistry-dept"", ""plant-&-envt-biology"", ""animal-biology"", ""marine-&-fisheries"", ""pharmacy-school"", ""GRASAG"", ""volta-hall"", ""french-dept"", ""legon-hall"", ""maison-francaise"", ""legon-hall-annex""]",
RUN-0032,bfs,shortest_path,,jqb,business-school,"{""weight"": ""length_m"", ""avoid_inactive"": true}",success,2026-07-22 07:12:00,2026-07-22 07:12:00,5.595,59,232,1539.3,"[""jqb"", ""inter-prog-office"", ""humanities"", ""law-school"", ""biomed-dept"", ""pent-hostel-block-a"", ""pent food spot2-info"", ""pent food spot1-info"", ""business-school""]",
RUN-0033,dijkstra,shortest_path,,biotech-lab,MIASA,"{""weight"": ""length_m"", ""avoid_inactive"": true}",success,2026-07-07 10:48:00,2026-07-07 10:48:00,13.05,78,315,2403.8,"[""biotech-lab"", ""UG-creche-kg"", ""fam-and-consumer"", ""geology-dept"", ""inter-affairs"", ""chemistry-dept"", ""plant-&-envt-biology"", ""animal-biology"", ""marine-&-fisheries"", ""pharmacy-school"", ""GRASAG"", ""volta-hall"", ""sociology-dept"", ""MIASA""]",
RUN-0034,a_star,shortest_path,,mensah-sarbah-annex,teacher-education,"{""weight"": ""length_m"", ""avoid_inactive"": true}",success,2026-07-26 01:23:00,2026-07-26 01:23:00,18.634,82,325,3120.2,"[""mensah-sarbah-annex"", ""mensah-sarbah-hall"", ""legon-hall-annex"", ""maison-francaise"", ""legon-hall"", ""french-dept"", ""volta-hall"", ""GRASAG"", ""pharmacy-school"", ""marine-&-fisheries"", ""animal-biology"", ""plant-&-envt-biology"", ""chemistry-dept"", ""ecowas-coastal-marine"", ""stats-dept"", ""law-school"", ""humanities"", ""education-dept"", ""teacher-education""]",
RUN-0035,bellman_ford,shortest_path,,education-dept,geography-dept,"{""weight"": ""length_m"", ""avoid_inactive"": true}",success,2026-07-21 01:49:00,2026-07-21 01:49:00,1.511,12,46,381.5,"[""education-dept"", ""jqb"", ""CERGIS"", ""geography-dept""]",
RUN-0036,dijkstra,shortest_path,,CEGENSA,GRASAG,"{""weight"": ""length_m"", ""avoid_inactive"": true}",success,2026-07-20 18:07:00,2026-07-20 18:07:00,6.667,59,232,1540.6,"[""CEGENSA"", ""UG-creche-kg"", ""fam-and-consumer"", ""geology-dept"", ""inter-affairs"", ""chemistry-dept"", ""plant-&-envt-biology"", ""animal-biology"", ""marine-&-fisheries"", ""pharmacy-school"", ""GRASAG""]",
RUN-0037,hungarian,resource_allocation,SR-2026-0038,stats-dept,,"{""objective"": ""min_response_time"", ""max_candidates"": 8}",success,2026-07-26 03:19:00,2026-07-26 03:19:01,3.545,15,31,1322.0,,
RUN-0038,hungarian,resource_allocation,SR-2026-0021,religions,,"{""objective"": ""min_response_time"", ""max_candidates"": 8}",success,2026-08-03 23:13:00,2026-08-03 23:13:01,11.116,40,78,208.6,,
RUN-0039,greedy_assignment,resource_allocation,SR-2026-0002,great-hall,,"{""objective"": ""min_response_time"", ""max_candidates"": 8}",success,2026-07-17 04:14:00,2026-07-17 04:14:01,10.288,4,131,436.2,,
RUN-0040,dijkstra,shortest_path,,bani-hostel,psychology,"{""weight"": ""length_m"", ""avoid_inactive"": true}",success,2026-07-19 14:45:00,2026-07-19 14:45:00,32.653,49,195,2390.3,"[""bani-hostel"", ""evandy-hostel"", ""pent-hostel-block-b"", ""pent-hostel-block-a"", ""biomed-dept"", ""computer-science"", ""stats-dept"", ""ecowas-coastal-marine"", ""chemistry-dept"", ""plant-&-envt-biology"", ""political-science"", ""psychology""]",
